Date,BBRM.JK,BESS.JK,BSML.JK,BULL.JK,CANI.JK,HAIS.JK,HATM.JK,HITS.JK,IPCC.JK,MITI.JK,NELY.JK,PSSI.JK,RIGS.JK,SHIP.JK,SMDR.JK,SOCI.JK,TCPI.JK,TMAS.JK,TPMA.JK,WINS.JK
2020-01-02,67.77452087402344,,,160.0,162.0,,,720.0,552.0419311523438,125.18495178222656,108.63055419921875,148.76168823242188,218.0,683.2391357421875,41.579498291015625,172.0,6757.263671875,7.57557487487793,152.385498046875,124.0
2020-01-03,67.77452087402344,,,163.0,144.0,,,720.0,552.0419311523438,125.18495178222656,107.86011505126953,149.5927734375,218.0,687.734130859375,41.24686050415039,171.0,6881.93701171875,7.502734184265137,152.385498046875,125.0
2020-01-06,67.77452087402344,,,163.0,144.0,,,720.0,523.6280517578125,125.18495178222656,107.86011505126953,147.93063354492188,218.0,683.2391357421875,40.24895477294922,168.0,6807.13330078125,7.429891586303711,152.385498046875,123.0
2020-01-07,67.77452087402344,,,164.0,144.0,,,725.0,519.5687866210938,125.18495178222656,107.86011505126953,147.93063354492188,218.0,683.2391357421875,40.91423034667969,170.0,6832.06787109375,7.429891586303711,155.15614318847656,125.0
2020-01-08,67.77452087402344,,,159.0,154.0,,,730.0,515.5097045898438,125.18495178222656,107.86011505126953,147.0995330810547,216.0,678.744140625,40.24895477294922,167.0,6782.19873046875,7.357050895690918,155.15614318847656,119.0
2020-01-09,67.77452087402344,,,160.0,164.0,,,730.0,507.3914489746094,125.18495178222656,107.86011505126953,145.43740844726562,212.0,678.744140625,41.579498291015625,168.0,6881.93701171875,7.284207344055176,152.385498046875,121.0
2020-01-10,67.77452087402344,,,158.0,166.0,,,720.0,507.3914489746094,125.18495178222656,107.86011505126953,146.2684783935547,222.0,687.734130859375,41.579498291015625,171.0,6881.93701171875,7.357050895690918,152.385498046875,121.0
2020-01-13,67.77452087402344,,,160.0,176.0,,,710.0,507.3914489746094,125.18495178222656,107.86011505126953,148.76168823242188,214.0,696.72412109375,41.579498291015625,172.0,6832.06787109375,7.284207344055176,152.385498046875,120.0
2020-01-14,67.77452087402344,,,170.0,176.0,,,715.0,487.0957946777344,125.18495178222656,107.86011505126953,145.43740844726562,218.0,696.72412109375,39.916316986083984,170.0,6881.93701171875,7.429891586303711,181.47727966308594,120.0
2020-01-15,67.77452087402344,,,170.0,176.0,,,705.0,474.91839599609375,125.18495178222656,107.86011505126953,142.9442138671875,216.0,696.72412109375,40.24895477294922,169.0,6732.32958984375,7.284207344055176,193.94517517089844,120.0
2020-01-16,67.77452087402344,,,170.0,186.0,,,705.0,474.91839599609375,125.18495178222656,107.86011505126953,143.7752685546875,216.0,687.734130859375,40.24895477294922,168.0,6607.65625,7.284207344055176,198.10113525390625,120.0
2020-01-17,67.77452087402344,,,177.0,159.0,,,705.0,454.62274169921875,125.18495178222656,103.237548828125,148.76168823242188,210.0,692.2291259765625,39.916316986083984,170.0,6832.06787109375,7.357050895690918,199.48646545410156,120.0
2020-01-20,67.77452087402344,,,177.0,159.0,,,700.0,483.03668212890625,125.18495178222656,103.237548828125,147.0995330810547,208.0,683.2391357421875,39.583683013916016,169.0,6682.46044921875,7.357050895690918,199.48646545410156,119.0
2020-01-21,67.77452087402344,,,176.0,159.0,,,700.0,487.0957946777344,125.18495178222656,103.237548828125,132.97132873535156,210.0,683.2391357421875,39.916316986083984,166.0,6732.32958984375,7.284207344055176,199.48646545410156,119.0
2020-01-22,67.77452087402344,,,177.0,159.0,,,700.0,470.8592529296875,125.18495178222656,103.237548828125,139.6199188232422,204.0,683.2391357421875,39.25104522705078,164.0,6682.46044921875,7.138523578643799,199.48646545410156,124.0
2020-01-23,67.77452087402344,,,176.0,159.0,,,700.0,462.74102783203125,125.18495178222656,103.237548828125,144.60635375976562,210.0,678.744140625,39.25104522705078,162.0,6857.001953125,7.138523578643799,199.48646545410156,120.0
2020-01-24,67.77452087402344,,,176.0,159.0,,,650.0,462.74102783203125,125.18495178222656,103.237548828125,136.29562377929688,206.0,674.2491455078125,38.585777282714844,162.0,6981.67529296875,7.211366176605225,199.48646545410156,117.0
2020-01-27,67.77452087402344,,,175.0,159.0,,,675.0,462.74102783203125,125.18495178222656,107.0896987915039,137.12669372558594,200.0,674.2491455078125,38.585777282714844,150.0,6482.984375,6.701470375061035,198.10113525390625,113.0
2020-01-28,67.77452087402344,,,172.0,159.0,,,540.0,478.97747802734375,125.18495178222656,107.0896987915039,141.2820587158203,200.0,674.2491455078125,37.92049789428711,148.0,6308.4423828125,6.774312973022461,200.87179565429688,102.0
2020-01-29,67.77452087402344,,,173.0,159.0,,,550.0,495.2140197753906,125.18495178222656,103.237548828125,140.45098876953125,204.0,674.2491455078125,37.25522994995117,153.0,5809.75048828125,6.84715461730957,199.48646545410156,101.0
2020-01-30,67.77452087402344,,,176.0,159.0,,,565.0,458.681884765625,125.18495178222656,103.237548828125,137.957763671875,200.0,669.7542114257812,37.92049789428711,150.0,6158.8349609375,6.701470375061035,199.48646545410156,100.0
